state_ocha,lga_ocha,adm2_pcode,pfpr
Imo,Oguta,NG017017,20.58185636997223
Abia,Ohafia,NG001010,27.90365219116211
Imo,Ohaji/Egbema,NG017018,25.235533714294434
Ebonyi,Ohaozara,NG011011,22.95568138360977
Ebonyi,Ohaukwu,NG011012,31.22468590736389
Benue,Ohimini,NG007016,35.80276072025299
Enugu,Oji-River,NG014014,22.863781452178955
Lagos,Ojo,NG025017,11.939727514982224
Benue,Oju,NG007017,36.05302274227142
Kwara,Oke-Ero,NG024014,26.293867826461792
Kogi,Okehi,NG023016,29.974478483200073
Kogi,Okene,NG023017,27.48700976371765
Imo,Okigwe,NG017019,32.741162180900574
Ondo,Okitipupa,NG029014,34.895142912864685
Akwa Ibom,Okobo,NG003023,36.70859336853027
Delta,Okpe,NG010013,22.930286824703217
Benue,Okpokwu,NG007018,37.1423065662384
Rivers,Okrika,NG033018,40.236276388168335
Osun,Ola-oluwa,NG030026,30.389708280563354
Kogi,Olamabolo,NG023018,29.37200367450714
Osun,Olorunda,NG030027,21.811042726039886
Oyo,Olorunsogo,NG031024,37.23081350326538
Oyo,Oluyole,NG031025,33.25139582157135
Kogi,Omala,NG023019,34.90791618824005
Rivers,Omumma,NG033019,30.91294765472412
Oyo,Ona-Ara,NG031026,35.27184724807739
Ondo,Ondo East,NG029015,24.706606566905975
Ondo,Ondo West,NG029016,42.70041882991791
Ebonyi,Onicha,NG011013,27.23323702812195
