state_ocha,lga_ocha,adm2_pcode,area_sqkm,center_lat,center_lon,elevation
Plateau,Langtang North,NG032009,782.42478457,9.04946091,9.8269267,227.0
Plateau,Langtang South,NG032010,1198.87729128,8.62610292,9.82364825,179.0
Niger,Lapai,NG027012,3030.36126524,8.78112703,6.67443256,212.0
Taraba,Lau,NG035010,1657.10315271,9.19390003,11.46301909,178.0
Niger,Lavun,NG027013,2589.31251186,9.42834335,5.65168421,163.0
Kaduna,Lere,NG019017,2301.14884047,10.33701689,8.58054696,770.0
Benue,Logo,NG007012,1625.60606822,7.67105917,9.24036545,162.0
Kogi,Lokoja,NG023012,3201.49417727,8.23918014,6.55406309,143.0
Yobe,Machina,NG036011,1279.90281608,13.0400599,10.05924403,352.0
Adamawa,Madagali,NG002010,830.71985738,10.79923587,13.48153142,610.0
Kano,Madobi,NG020028,257.91954102,11.81335976,8.37013114,473.0
Borno,Mafa,NG008019,2853.49121834,12.04636513,13.54125075,304.0
Niger,Magama,NG027014,4056.23000818,10.29522048,5.01461632,284.0
Borno,Magumeri,NG008020,4728.67184528,12.22527489,12.71196525,337.0
Katsina,Mai'adua,NG021024,619.44823064,13.15320131,8.20892688,486.0
Borno,Maiduguri,NG008021,139.86577147,11.83470577,13.13357488,334.0
Jigawa,Maigatari,NG018020,964.55417287,12.68645084,9.61718226,360.0
Adamawa,Maiha,NG002011,1356.49528639,9.87445135,13.14138238,569.0
Kebbi,Maiyama,NG022014,1334.00888828,12.00755424,4.29009759,254.0
Kano,Makoda,NG020029,401.85282362,12.4217695,8.4417771,464.0
Benue,Makurdi,NG007013,812.177442,7.73548055,8.51828258,84.0
Jigawa,Malam Madori,NG018021,806.61235321,12.53320247,9.95324462,356.0
Katsina,Malumfashi,NG021025,805.95670955,11.84549901,7.67902619,629.0
Plateau,Mangu,NG032011,1609.6794799,9.36203006,9.18465775,1206.0
Katsina,Mani,NG021026,670.63717389,12.90916176,7.93937331,505.0
Zamfara,Maradun,NG037009,2753.94959184,12.71545161,6.31724159,379.0
Niger,Mariga,NG027015,5771.14679716,10.6098215,5.86340137,398.0
Kaduna,Markafi,NG019018,572.25888412,11.32740103,7.95579185,690.0
Borno,Marte,NG008022,2958.21541153,12.40644618,13.85787997,290.0
Zamfara,Maru,NG037010,7215.5101484,11.64432722,6.32646109,447.0
Niger,Mashegu,NG027016,9300.54260562,9.8201927,5.2491292,248.0
Katsina,Mashi,NG021027,938.34383306,13.11941147,7.99683458,485.0
Katsina,Matazu,NG021028,539.75115346,12.24030217,7.65088259,536.0
Adamawa,Mayo-Belwa,NG002012,2108.98572093,8.90750157,12.04408717,352.0
Imo,Mbaitoli,NG017011,199.99383112,5.59819361,7.01605271,135.0
Akwa Ibom,Mbo,NG003017,241.46673667,4.62621855,8.23590783,13.0
